current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
415,669,361,327,18,100,0,99,1567567107.85
428,669,369,327,18,100,0,100,1567567107.95
414,669,359,329,18,100,0,100,1567567108.05
406,670,362,330,19,100,0,100,1567567108.15
411,670,364,329,18,100,0,100,1567567108.25
416,670,361,328,19,100,0,100,1567567108.35
419,669,358,327,18,100,0,101,1567567108.45
421,670,368,327,19,100,0,100,1567567108.65
448,669,364,327,19,100,0,100,1567567108.75
414,669,362,327,19,100,0,99,1567567108.85
420,669,371,327,19,100,0,101,1567567108.95
426,669,365,328,19,100,0,100,1567567109.05
411,670,352,329,20,100,0,99,1567567109.15
426,669,354,328,19,100,0,100,1567567109.25
442,669,364,326,20,100,0,101,1567567109.35
438,669,355,326,20,100,0,100,1567567109.45
427,670,359,329,20,100,0,100,1567567109.55
431,669,353,328,20,100,0,100,1567567109.65
421,669,361,327,20,100,0,99,1567567109.75
429,669,359,327,20,100,0,99,1567567109.95
423,669,354,328,21,100,0,101,1567567110.05
412,669,359,327,20,100,0,100,1567567110.15
448,669,364,325,21,100,0,99,1567567110.25
471,669,339,327,21,100,0,101,1567567110.35
411,670,323,328,20,100,0,100,1567567110.45
420,670,338,326,21,100,0,99,1567567110.55
421,669,332,328,21,100,0,101,1567567110.65
413,670,333,329,21,100,0,100,1567567110.75
407,670,325,328,21,100,0,100,1567567110.85
398,670,329,329,21,100,0,100,1567567110.95
413,669,338,327,23,100,0,99,1567567111.05
422,669,326,328,21,100,0,100,1567567111.15
418,669,326,326,21,100,0,101,1567567111.25
415,670,331,328,22,100,0,99,1567567111.35
453,669,333,329,22,100,0,101,1567567111.45
413,670,328,329,21,100,0,100,1567567111.55
410,670,324,328,22,100,0,100,1567567111.65
415,670,329,326,21,100,0,99,1567567111.75
417,669,333,326,22,100,0,101,1567567111.85
422,669,328,327,22,100,0,101,1567567112.15
432,669,338,329,22,100,0,100,1567567112.25
455,669,316,332,22,100,0,101,1567567112.45
411,670,339,328,22,100,0,99,1567567112.55
467,669,326,326,23,100,0,101,1567567112.65
408,669,319,328,22,100,0,99,1567567112.75
435,669,326,326,23,100,0,100,1567567112.85
427,670,329,327,23,100,0,101,1567567112.95
404,670,325,329,23,100,0,100,1567567113.05
460,668,323,325,22,100,0,99,1567567113.15
435,669,333,330,23,100,0,100,1567567113.25
409,669,325,329,23,100,0,100,1567567113.35
435,669,325,327,24,100,0,101,1567567113.45
424,670,336,325,23,100,0,100,1567567113.55
431,669,325,328,23,100,0,99,1567567113.65
405,670,323,327,23,100,0,100,1567567113.75
411,670,334,327,24,100,0,101,1567567113.85
443,669,327,324,23,100,0,100,1567567113.95
474,669,327,325,24,100,0,99,1567567114.05
423,669,335,325,23,100,0,100,1567567114.15
432,669,331,327,24,100,0,101,1567567114.25
429,669,323,327,23,100,0,99,1567567114.35
430,669,338,328,24,100,0,101,1567567114.45
434,669,331,326,24,100,0,100,1567567114.55
428,669,322,327,24,100,0,99,1567567114.65
425,670,324,327,24,100,0,100,1567567114.75
428,669,333,326,24,100,0,100,1567567114.85
448,669,326,327,24,100,0,101,1567567115.05
459,669,329,326,24,100,0,100,1567567115.15
413,670,327,328,24,100,0,99,1567567115.25
408,669,333,328,24,100,0,99,1567567115.45
442,669,332,327,25,100,0,101,1567567115.55
443,669,318,327,24,100,0,100,1567567115.65
451,669,325,328,24,100,0,100,1567567115.75
420,669,329,327,25,100,0,100,1567567115.85
420,669,325,327,24,100,0,100,1567567115.95
459,669,324,327,27,100,0,102,1567567116.16
432,669,325,328,22,100,0,91,1567567116.35
447,669,329,328,25,100,0,101,1567567116.45
432,669,329,325,25,100,0,99,1567567116.65
411,670,325,327,25,100,0,101,1567567116.75
438,669,328,326,24,100,0,99,1567567116.85
460,669,332,328,26,100,0,101,1567567116.95
435,669,327,326,25,100,0,100,1567567117.05
426,669,325,327,25,100,0,100,1567567117.15
444,669,323,325,25,100,0,100,1567567117.25
453,670,335,328,25,100,0,100,1567567117.35
445,669,352,326,25,100,0,99,1567567117.45
445,669,352,327,26,100,0,100,1567567117.55
450,668,345,326,25,100,0,101,1567567117.65
442,669,342,327,26,100,0,99,1567567117.75
436,669,342,327,25,100,0,100,1567567117.85
437,669,336,325,25,100,0,100,1567567118.25
465,669,328,327,26,100,0,100,1567567118.35
433,669,334,330,27,100,0,100,1567567118.45
444,668,336,327,26,100,0,101,1567567118.55
439,669,333,327,26,100,0,99,1567567118.65
428,669,331,327,26,100,0,100,1567567118.75
425,669,316,328,26,100,0,101,1567567118.85
414,669,321,327,27,100,0,100,1567567118.95
